scenario,expected_event_or_result,minimum_runs,status
FPV_AUTO_MAP_POINT,POSITION_ONLY_ACTIVE -> FPV_REQUEST_ACCEPTED -> DRONE_LAUNCHED -> FPV_GUIDANCE_FINISHED,5,NOT_RUNTIME_VERIFIED
FPV_EXACT_CLASS_MAP_POINT,requested class materializes or structured ASSET_NOT_ALLOWED/NO_CAPABLE_SOURCE,3,NOT_RUNTIME_VERIFIED
LONG_RANGE_AUTO_X3_MAP_POINT,no SUBJECT_UNRESOLVED; three materializations or exact tail refund,3,NOT_RUNTIME_VERIFIED
FP1_TERMINAL,LONG_RANGE_TERMINAL_STARTED -> LONG_RANGE_GUIDANCE_FINISHED; no coordinate oscillation,5,NOT_RUNTIME_VERIFIED
FP2_TERMINAL,LONG_RANGE_TERMINAL_STARTED -> LONG_RANGE_GUIDANCE_FINISHED; no coordinate oscillation,5,NOT_RUNTIME_VERIFIED
LONG_RANGE_NO_PROGRESS,LONG_RANGE_TERMINAL_RECOVERY then completion or NO_TERMINAL_PROGRESS within bound,2,NOT_RUNTIME_VERIFIED
INSERTION_UAARMY,B_UAArmy_CAT1A2_01 absent from selected classes,3,NOT_RUNTIME_VERIFIED
S300_BATTERY,radarClass S300_RS_F_UCG and 2 validated launchers or component-level rollback,3,NOT_RUNTIME_VERIFIED
POOK_9K720,BALLISTIC_STATUS ammoClass non-empty or explicit script-only adapter requirement,3,NOT_RUNTIME_VERIFIED
SOAK_HOSTED_MP,no No-alive watchdog and no process exception for 60 minutes,1,NOT_RUNTIME_VERIFIED
